,time,flex sensor,"actuator position, command","actuator position, measured",force,"actuator position, command1","actuator position, measured1",force1,TrialCounter
3024,1192966.0,180.0,67.0,791.0,269.0,65.0,835.0,268.0,25.0
3025,1193118.0,180.0,67.0,790.0,269.0,65.0,836.0,268.0,25.0
3026,1193271.0,180.0,67.0,791.0,269.0,65.0,836.0,268.0,25.0
3027,1193423.0,180.0,67.0,791.0,269.0,65.0,836.0,268.0,25.0
3028,1193576.0,180.0,67.0,790.0,269.0,65.0,836.0,268.0,25.0
3029,1193728.0,180.0,67.0,790.0,269.0,65.0,836.0,268.0,25.0
3016,1191746.0,180.0,67.0,790.0,268.0,65.0,836.0,268.0,25.0
3000,1189307.0,180.0,67.0,790.0,269.0,65.0,832.0,272.0,25.0
2999,1189155.0,180.0,67.0,789.0,267.0,65.0,775.0,289.0,25.0
2998,1189003.0,180.0,67.0,752.0,270.0,65.0,668.0,321.0,25.0
2929,1170484.0,180.0,67.0,794.0,270.0,65.0,844.0,266.0,24.0
2930,1170636.0,180.0,67.0,793.0,270.0,65.0,844.0,266.0,24.0
2931,1170789.0,180.0,67.0,794.0,270.0,65.0,844.0,268.0,24.0
2932,1170941.0,180.0,67.0,794.0,270.0,65.0,844.0,268.0,24.0
2933,1171094.0,180.0,67.0,794.0,270.0,65.0,844.0,268.0,24.0
2934,1171246.0,180.0,67.0,794.0,270.0,65.0,844.0,268.0,24.0
2935,1171398.0,180.0,67.0,794.0,270.0,65.0,844.0,267.0,24.0
2956,1178600.0,180.0,67.0,569.0,315.0,65.0,604.0,332.0,25.0
2957,1178752.0,180.0,67.0,625.0,302.0,65.0,603.0,329.0,25.0
2958,1178905.0,180.0,67.0,756.0,274.0,65.0,723.0,308.0,25.0
2959,1179057.0,180.0,67.0,804.0,270.0,65.0,818.0,278.0,25.0
2960,1179209.0,180.0,67.0,801.0,270.0,65.0,843.0,269.0,25.0
2961,1179362.0,180.0,67.0,795.0,270.0,65.0,842.0,269.0,25.0
2962,1179514.0,180.0,67.0,794.0,270.0,65.0,838.0,269.0,25.0
2963,1179667.0,180.0,67.0,794.0,270.0,65.0,841.0,269.0,25.0
2964,1179819.0,180.0,67.0,796.0,272.0,65.0,841.0,268.0,25.0
2965,1179972.0,180.0,67.0,794.0,270.0,65.0,841.0,268.0,25.0
2966,1180124.0,180.0,67.0,794.0,272.0,65.0,842.0,268.0,25.0
