t1,t2,command,measured,position
48119237,48119238,51,257,987
48128908,48128908,51,257,988
48138588,48138589,51,257,987
48148257,48148258,51,257,986
48157935,48157936,51,257,987
48167611,48167612,51,257,987
48177289,48177289,51,257,987
48187757,48187758,51,257,988
48197437,48197437,51,257,987
48207109,48207109,51,257,987
48216789,48216790,51,257,988
48226463,48226464,51,257,987
48237252,48237253,51,257,986
48246926,48246927,51,257,987
48256609,48256610,51,257,986
48266286,48266286,51,257,989
48275967,48275967,51,256,987
48286053,48286054,51,256,985
48295733,48295734,51,256,987
48305405,48305405,51,256,987
48315081,48315082,51,256,987
48324755,48324755,51,257,986
48334427,48334428,51,257,985
48344100,48344101,51,256,987
48353775,48353776,51,256,986
48364218,48364219,51,256,987
48373890,48373890,51,256,988
48383566,48383566,51,256,987
48393238,48393239,51,256,988
48402913,48402913,51,256,987
48413604,48413604,51,256,987
48423274,48423275,51,257,986
48432945,48432946,51,257,986
48442618,48442618,51,256,988
48452293,48452293,51,256,986
48462374,48462374,51,256,988
48472048,48472049,51,256,987
48481726,48481727,51,256,987
48491397,48491398,51,257,986
48501073,48501073,51,257,987
48510749,48510751,52,257,987
48520427,48520428,52,257,987
48530096,48530097,52,257,986
48540498,48540499,52,257,987
48550171,48550172,52,257,986
48559847,48559848,52,257,985
48569524,48569524,52,257,987
48579200,48579200,52,257,987
48589877,48589877,52,257,987
48599553,48599554,52,257,986
48609228,48609229,52,257,986
48618906,48618907,52,257,987
48628580,48628580,52,257,988
48638712,48638712,52,257,985
48648387,48648388,52,256,986
48658065,48658066,52,256,988
48667740,48667741,52,257,987
48677418,48677418,52,257,987
48687090,48687091,52,257,987
48696768,48696769,52,256,987
48706443,48706444,52,256,987
48716794,48716794,52,257,988
48726465,48726465,52,256,985
48736140,48736140,52,256,985
48745815,48745815,52,256,984
48755488,48755489,52,256,983
48765853,48765854,52,256,983
48775530,48775530,52,256,983
48785202,48785202,52,256,982
48794872,48794873,52,257,977
48804546,48804546,52,256,975
48815262,48815263,52,256,972
48824935,48824936,52,256,972
48834608,48834609,52,256,970
48844283,48844283,52,256,972
48853954,48853955,52,256,971
48864014,48864015,52,256,971
48873685,48873685,52,257,972
48883357,48883358,52,257,971
48893848,48893849,52,256,972
48903519,48903520,52,257,971
48913189,48913190,52,257,971
48922863,48922864,52,256,971
48932534,48932535,52,257,972
48943285,48943285,52,257,970
48952953,48952953,52,257,971
48962627,48962628,52,257,969
48972302,48972303,52,257,971
48981977,48981978,52,257,971
48992037,48992038,52,257,971
49001714,49001715,52,257,970
49011386,49011386,52,257,971
49021063,49021064,52,257,971
49030738,49030739,52,257,970
49040412,49040413,52,257,970
49050083,49050084,52,257,971
49059762,49059763,52,257,971
49070143,49070144,52,257,971
49079817,49079818,52,257,971
49089489,49089490,52,257,971
49099165,49099165,52,257,971
49108833,49108834,52,257,971
49119577,49119578,52,257,970
49129246,49129247,52,256,972
49138917,49138918,52,256,970
49148589,49148590,52,257,971
49158265,49158266,52,256,970
49168383,49168384,52,256,971
49178057,49178058,52,256,970
49187732,49187733,52,256,970
49197406,49197407,52,256,971
49207079,49207079,52,256,971
49216756,49216756,52,256,970
49226427,49226428,52,256,969
49236104,49236104,52,256,970
49246509,49246509,52,256,971
49256184,49256184,52,256,971
49265856,49265856,52,256,971
49275530,49275531,52,256,969
49285198,49285198,52,256,969
49295872,49295872,52,256,971
49305541,49305541,52,256,972
49315214,49315215,52,256,971
49324885,49324885,52,257,970
49334557,49334557,52,257,971
49344660,49344661,52,257,971
49354329,49354329,52,257,971
49363996,49363997,52,257,972
49373668,49373669,52,257,970
49383341,49383342,52,257,970
49393012,49393013,52,257,972
49402691,49402692,52,257,970
49412364,49412365,52,257,969
49422826,49422827,52,257,971
49432501,49432502,52,257,972
49442174,49442175,52,257,970
49451849,49451849,52,257,972
49461523,49461523,52,257,970
49471848,49471848,52,257,971
49481520,49481521,52,257,968
49491193,49491193,52,257,971
49500869,49500869,52,257,970
49510542,49510542,52,257,971
49521253,49521254,52,257,971
49530925,49530926,52,257,972
49540604,49540604,52,257,971
49550276,49550277,52,257,969
49559953,49559954,52,257,970
49570054,49570054,52,257,970
49579734,49579735,52,257,971
49589408,49589409,52,257,970
49599084,49599085,52,257,971
49608757,49608758,52,256,971
49618429,49618429,52,256,970
49628101,49628101,52,256,971
49637778,49637779,52,256,971
49648118,49648118,52,256,970
49657795,49657796,52,256,971
49667470,49667471,52,256,971
49677149,49677149,52,256,970
49686823,49686823,52,256,971
49697184,49697185,52,256,971
49706855,49706855,52,256,970
49716532,49716532,52,256,972
49726202,49726202,52,256,970
49735879,49735880,52,256,971
49746552,49746552,52,256,969
49756227,49756228,52,256,971
49765901,49765902,52,256,971
49775581,49775582,52,256,971
49785254,49785255,52,257,970
49795239,49795239,52,257,971
49804917,49804917,52,256,970
49814592,49814592,52,256,970
49824265,49824266,52,257,971
49833937,49833938,52,257,971
49843611,49843612,52,257,967
49853285,49853285,52,257,970
49862957,49862958,52,257,971
49873304,49873304,52,256,971
49882975,49882976,52,256,970
49892652,49892653,52,256,971
49902326,49902327,52,257,972
49911999,49912000,52,257,970
49922360,49922361,52,257,969
49932033,49932034,52,257,970
49941712,49941712,52,257,970
49951385,49951385,52,257,972
49961063,49961063,52,257,971
49971428,49971429,52,257,970
49981107,49981108,52,256,969
49990783,49990784,52,256,971
50000462,50000463,52,257,971
50010135,50010135,52,256,970
50020845,50020846,52,256,970
50030519,50030519,52,257,971
50040194,50040195,52,257,971
50049866,50049866,52,256,970
50059545,50059546,52,256,970
50069659,50069660,52,256,968
50079336,50079337,52,257,972
50089009,50089009,52,257,971
50098683,50098684,52,256,971
50108351,50108352,52,256,971
50118028,50118028,52,256,970
50127701,50127701,52,256,972
50137375,50137375,52,256,971
50147775,50147776,52,256,967
50157452,50157453,52,256,968
50167122,50167123,52,256,971
50176798,50176799,52,256,970
50186477,50186478,52,256,971
50197160,50197160,52,256,970
50206836,50206836,52,256,973
50216515,50216515,52,256,972
50226185,50226186,52,256,971
50235861,50235861,52,256,970
50245943,50245943,52,256,970
50255622,50255623,52,256,970
50265292,50265292,52,256,969
50274967,50274967,52,257,969
50284641,50284641,52,257,970
50294311,50294311,52,257,971
50303983,50303984,52,257,971
50313655,50313656,52,257,970
50324049,50324050,52,257,968
50333719,50333720,52,257,970
50343390,50343390,52,257,972
50353058,50353058,52,257,971
50362731,50362732,52,256,972
50373443,50373444,52,256,971
50383116,50383117,52,257,969
50392788,50392789,52,257,970
50402464,50402465,52,257,971
50412137,50412138,52,257,970
50422131,50422132,52,257,969
50431808,50431808,52,257,969
50441482,50441483,52,257,972
50451155,50451156,52,257,969
50460834,50460835,52,257,970
50470505,50470507,53,257,970
50480182,50480182,53,257,970
50489851,50489851,53,257,971
50500252,50500252,53,256,969
50509921,50509922,53,257,971
50519596,50519596,53,257,972
50529267,50529267,53,256,970
50538941,50538942,53,256,970
50549614,50549614,53,256,970
50559292,50559292,53,256,969
50568964,50568964,53,256,970
50578641,50578642,53,256,969
50588315,50588315,53,256,970
50598451,50598451,53,256,971
50608121,50608122,53,256,972
50617802,50617803,53,256,970
50628280,50628281,53,256,971
50637957,50637958,53,256,970
50647631,50647632,53,256,971
50657308,50657309,53,256,970
50666983,50666984,53,256,970
50677699,50677699,53,256,972
50687372,50687373,53,256,971
50697053,50697053,53,256,970
50706729,50706729,53,256,970
50716404,50716404,53,257,970
50726463,50726464,53,257,970
50736142,50736143,53,256,972
50745815,50745816,53,256,970
50756310,50756310,53,257,970
50765985,50765985,53,257,972
50775665,50775665,53,257,971
50785339,50785339,53,257,970
50795011,50795012,53,257,970
50805378,50805378,53,257,971
50815054,50815054,53,257,970
50824730,50824731,53,257,972
50834406,50834406,53,256,970
50844078,50844078,53,256,972
50854441,50854441,53,256,969
50864113,50864114,53,257,971
50873787,50873788,53,257,971
50883460,50883461,53,257,972
50893132,50893133,53,257,971
50903824,50903824,53,257,971
