t1,t2,command,measured,position
83145802,83145802,59,312,906
83155472,83155472,59,312,906
83166190,83166191,59,312,905
83175862,83175863,59,312,905
83185530,83185531,59,312,904
83195200,83195201,59,312,904
83204867,83204868,59,312,906
83214959,83214959,59,312,905
83224628,83224628,59,312,905
83234300,83234300,59,312,906
83243968,83243968,59,312,906
83253636,83253637,59,312,904
83263304,83263305,59,312,906
83272974,83272974,59,313,905
83282648,83282649,59,313,905
83293098,83293099,59,312,905
83302768,83302768,59,313,906
83312438,83312438,59,313,907
83322108,83322108,59,312,906
83331774,83331774,59,312,904
83342547,83342548,59,312,906
83352218,83352218,59,313,905
83361888,83361889,59,313,904
83371558,83371558,59,314,905
83381233,83381233,59,314,906
83391393,83391394,59,314,905
83401067,83401067,59,314,906
83410734,83410735,59,314,905
83420407,83420407,59,314,905
83430073,83430074,59,314,905
83439743,83439743,59,314,904
83449411,83449412,59,313,906
83459088,83459088,59,313,906
83469541,83469542,59,312,904
83479214,83479214,59,312,906
83488883,83488884,59,312,906
83498558,83498558,59,312,905
83508230,83508231,60,312,905
83519081,83519082,60,312,906
83528750,83528751,60,312,905
83538424,83538424,60,312,905
83548091,83548092,60,312,905
83557792,83557792,60,312,907
83567781,83567781,60,312,906
83577454,83577455,60,312,905
83587131,83587132,60,312,906
83597532,83597532,60,312,905
83607204,83607205,60,312,905
83616878,83616878,60,312,905
83626546,83626546,60,312,905
83636221,83636222,60,312,905
83646940,83646941,60,312,906
83656613,83656613,60,312,906
83666284,83666285,60,312,906
83675957,83675957,60,312,906
83685628,83685628,60,312,906
83695826,83695827,60,312,906
83705495,83705496,60,313,907
83715166,83715166,60,313,906
83724831,83724832,60,314,905
83734501,83734501,60,313,905
83744175,83744175,60,313,907
83753845,83753846,60,314,903
83763511,83763512,60,314,906
83773955,83773956,60,314,905
83783623,83783624,60,314,904
83793296,83793297,60,314,907
83802969,83802970,60,314,905
83812639,83812640,60,314,907
83823364,83823365,60,314,906
83833030,83833032,60,314,905
83842704,83842704,60,314,901
83852375,83852376,60,314,905
83862046,83862047,60,314,906
83872256,83872257,60,314,905
83881927,83881928,60,313,906
83891596,83891596,60,313,904
83901272,83901273,60,314,905
83910975,83910976,60,314,903
83920646,83920646,60,314,902
83930316,83930316,60,314,900
83939990,83939991,60,314,899
83950371,83950372,60,314,897
83960044,83960045,60,314,895
83969711,83969712,60,314,892
83979387,83979388,60,315,892
83989061,83989061,60,316,892
83999914,83999915,60,316,892
84009584,84009584,60,315,893
84019259,84019259,60,315,893
84028926,84028927,60,316,894
84038628,84038629,60,315,892
84048617,84048618,60,315,894
84058288,84058289,60,315,893
84067958,84067959,60,315,895
84078342,84078342,60,316,892
84088012,84088012,60,316,893
84097685,84097685,60,316,893
84107356,84107357,60,316,894
84117029,84117030,60,316,891
84127862,84127862,60,316,896
84137535,84137536,60,316,893
84147204,84147205,60,316,893
84156877,84156877,60,316,893
84166547,84166548,60,316,892
84176616,84176617,60,316,890
84186287,84186288,60,316,893
84195964,84195964,60,316,892
84206353,84206353,60,316,892
84216028,84216029,60,316,894
84225697,84225698,60,316,892
84235369,84235370,60,316,893
84245038,84245039,60,316,893
84255721,84255721,60,316,893
84265390,84265391,60,316,894
84275061,84275062,60,316,893
84284728,84284729,60,316,888
84294397,84294398,60,316,893
84304507,84304507,60,316,892
84314175,84314176,60,316,895
84323841,84323841,60,316,893
84333505,84333506,60,316,891
84343175,84343176,60,316,894
84352840,84352841,60,316,893
84362506,84362507,60,315,892
84372174,84372175,60,315,893
84382597,84382597,60,316,893
84392270,84392270,60,315,892
84401942,84401942,60,315,892
84411612,84411612,60,315,893
84421287,84421287,60,315,894
84431979,84431980,60,315,893
84441651,84441652,60,315,893
84451322,84451323,60,315,895
84460994,84460995,60,315,892
84470662,84470663,60,315,893
84480769,84480770,60,315,893
84490439,84490439,60,315,893
84500113,84500114,60,315,892
84509778,84509779,60,316,894
84519448,84519449,60,315,892
84529117,84529117,60,315,893
84538785,84538786,60,316,893
84548449,84548450,60,316,893
84558874,84558874,60,316,892
84568542,84568543,60,316,893
84578214,84578214,60,316,892
84587883,84587884,60,316,895
84597555,84597556,60,316,893
84608310,84608310,60,316,893
84617982,84617983,60,316,893
84627651,84627652,60,316,891
84637326,84637326,60,316,893
84646994,84646994,60,316,893
84657080,84657081,60,316,897
84666748,84666748,60,316,894
84676422,84676422,60,316,892
84686094,84686095,60,316,894
84695765,84695765,60,316,893
84705431,84705431,60,316,894
84715101,84715101,60,316,893
84724765,84724765,60,316,893
84735166,84735166,60,316,892
84744831,84744831,60,315,893
84754501,84754501,60,315,892
84764169,84764169,60,316,893
84773836,84773837,60,316,893
84784663,84784664,60,316,895
84794334,84794335,60,316,891
84804002,84804002,60,316,893
84813672,84813673,60,315,893
84823345,84823346,60,315,893
84833454,84833454,60,315,894
84843121,84843122,60,315,893
84852788,84852789,60,315,894
84863209,84863209,60,315,894
84872878,84872879,60,315,894
84882548,84882549,60,315,894
84892217,84892218,60,315,893
84901889,84901889,60,315,894
84912672,84912673,60,315,894
84922343,84922343,60,315,893
84932008,84932009,60,315,893
84941681,84941682,60,316,894
84951351,84951351,60,316,894
84961333,84961334,60,316,892
84971002,84971003,60,316,893
84980676,84980677,60,316,893
84990342,84990343,60,316,893
85000016,85000017,60,316,891
85009685,85009686,60,316,892
85019360,85019360,60,316,892
85029030,85029031,60,316,892
85039399,85039399,60,316,893
85049072,85049072,60,316,893
85058743,85058744,60,316,893
85068409,85068409,60,316,893
85078082,85078082,60,316,893
85088804,85088805,60,316,894
85098478,85098479,60,316,893
85108145,85108145,60,316,892
85117814,85117814,60,315,893
85127480,85127480,60,316,893
85137604,85137605,60,316,892
85147274,85147274,60,316,893
85156946,85156946,60,316,893
85166613,85166614,60,316,892
85176288,85176289,60,315,892
85185957,85185958,60,315,893
85195627,85195628,60,315,893
85205296,85205297,60,315,895
85215647,85215648,60,315,892
85225316,85225317,60,315,893
85234985,85234986,60,315,895
85244649,85244650,60,315,891
85254316,85254317,60,315,893
85264641,85264641,60,315,893
85274310,85274310,60,315,893
85283978,85283978,60,315,892
85293644,85293645,60,316,892
85303314,85303314,60,315,894
85314074,85314075,60,315,893
85323741,85323742,60,315,893
85333409,85333409,60,315,890
85343075,85343076,60,315,893
85352742,85352743,60,315,894
85362880,85362881,60,315,893
85372545,85372545,60,316,894
85382214,85382214,60,316,892
85391879,85391880,60,316,892
85401552,85401553,60,316,893
85411225,85411226,60,316,894
85420899,85420899,60,316,892
85430566,85430566,60,316,893
85441042,85441042,60,316,894
85450711,85450712,60,316,893
85460382,85460382,60,316,894
85470051,85470052,61,315,892
85479723,85479724,61,316,894
85490399,85490400,61,316,893
85500074,85500074,61,316,893
85509739,85509739,61,316,894
85519410,85519410,61,316,893
85529075,85529076,61,316,893
85539195,85539195,61,316,895
85548860,85548861,61,316,893
85558530,85558530,61,316,893
85568199,85568200,61,316,894
85577869,85577869,61,316,893
85587537,85587537,61,316,893
85597212,85597212,61,315,893
85606882,85606882,61,315,894
85617303,85617303,61,316,894
85626970,85626970,61,315,894
85636641,85636642,61,315,893
85646311,85646312,61,315,894
85655985,85655986,61,315,893
85666665,85666666,61,315,893
85676339,85676340,61,315,893
85686007,85686007,61,315,894
85695677,85695677,61,315,893
85705343,85705343,61,315,893
85715497,85715498,61,315,893
85725165,85725165,61,315,894
85734832,85734832,61,315,892
85744497,85744498,61,315,893
85754167,85754167,61,315,893
85763833,85763834,61,315,893
85773500,85773501,61,315,894
85783167,85783167,61,315,895
85793515,85793516,61,316,895
85803187,85803187,61,316,894
85812857,85812858,61,316,894
85822526,85822527,61,315,893
85832195,85832196,61,316,893
85842927,85842928,61,316,893
85852597,85852597,61,316,894
85862267,85862268,61,316,894
85871933,85871933,61,316,892
85881602,85881603,61,316,893
85891677,85891678,61,316,893
85901352,85901353,61,316,893
85911022,85911022,61,316,893
85920694,85920695,61,316,892
85930362,85930362,61,316,893
85940033,85940034,61,316,893
85949699,85949699,61,316,893
85959370,85959370,61,316,895
85969764,85969764,61,316,891
85979435,85979435,61,316,891
85989105,85989106,61,316,890
85998777,85998778,61,318,890
86008444,86008444,61,319,887
86019149,86019149,61,319,886
86028818,86028818,61,319,885
86038492,86038492,61,319,885
86048163,86048163,61,318,885
86057836,86057836,61,317,886
86067924,86067925,61,317,887
86077598,86077598,61,317,887
86087271,86087272,61,317,886
86097722,86097723,61,317,888
86107393,86107393,61,317,886
