t1,t2,command,force,position
152500718,152500719,49,-1,984
152508713,152508713,49,-1,984
152516714,152516715,49,-1,984
152524714,152524715,49,-1,985
152532714,152532715,49,-1,985
152540718,152540719,49,-1,983
152548713,152548713,49,-1,985
152556714,152556714,49,-1,983
152564714,152564714,49,-1,985
152572714,152572715,49,-1,985
152580718,152580719,49,-1,984
152588713,152588713,49,-1,985
152596714,152596715,49,-1,985
152604714,152604715,49,-1,984
152612714,152612715,49,-1,983
152620718,152620719,49,-1,984
152628713,152628713,49,-1,984
152636714,152636715,49,-1,984
152644714,152644715,49,-1,984
152652714,152652714,49,-1,985
152660718,152660719,49,-1,985
152668713,152668714,49,-1,985
152676714,152676715,49,-1,984
152684714,152684714,49,-1,983
152692714,152692714,49,-1,984
152700718,152700719,49,-1,984
152708713,152708713,49,-1,984
152716714,152716715,49,-1,984
152724714,152724715,49,-1,985
152732714,152732715,49,-1,984
152740718,152740719,49,-1,984
152748713,152748714,49,-1,985
152756714,152756715,49,-1,983
152764714,152764714,49,-1,983
152772714,152772714,49,-1,985
152780718,152780719,49,-1,984
152788712,152788713,49,-1,984
152796714,152796715,49,-1,984
152804714,152804715,49,-1,985
152812715,152812715,49,-1,984
152820718,152820719,49,-1,984
152828713,152828713,49,-1,985
152836714,152836715,49,-1,985
152844714,152844714,49,-1,984
152852714,152852715,49,-1,985
152860718,152860719,49,-1,985
152868713,152868713,49,-1,985
152876714,152876715,49,-1,985
152884714,152884715,49,-1,981
152892714,152892715,49,-1,985
152900718,152900719,49,-1,984
152908713,152908714,50,-1,986
152916714,152916715,50,-1,985
152924714,152924715,50,-1,985
152932714,152932715,50,-1,986
152940719,152940719,50,-1,984
152948712,152948713,50,-1,985
152956714,152956715,50,-1,985
152964714,152964715,50,-1,985
152972714,152972715,50,-1,984
152980719,152980719,50,-1,983
152988713,152988713,50,-1,984
152996714,152996715,50,-1,985
153004714,153004715,50,-1,984
153012714,153012715,50,-1,985
153020718,153020719,50,-1,985
153028713,153028713,50,-1,985
153036714,153036715,50,-1,986
153044714,153044714,50,-1,985
153052714,153052715,50,-1,984
153060718,153060719,50,-1,984
153068713,153068713,50,-1,983
153076714,153076715,50,-1,985
153084715,153084715,50,-1,986
153092714,153092715,50,-1,986
153100718,153100719,50,-1,984
153108713,153108713,50,-1,986
153116714,153116715,50,-1,985
153124714,153124715,50,-1,984
153132714,153132715,50,-1,984
153140718,153140719,50,-1,985
153148713,153148713,50,-1,985
153156714,153156715,50,-1,983
153164714,153164714,50,-1,984
153172714,153172715,50,-1,985
153180718,153180719,50,-1,985
153188712,153188713,50,-1,986
153196714,153196715,50,-1,984
153204714,153204714,50,-1,984
153212714,153212714,50,-1,984
153220718,153220719,50,-1,985
153228713,153228713,50,-1,985
153236714,153236715,50,-1,984
153244714,153244715,50,-1,985
153252714,153252714,50,-1,985
153260718,153260719,50,-1,984
153268713,153268713,50,-1,985
153276714,153276715,50,-1,985
153284714,153284715,50,-1,983
153292714,153292715,50,-1,986
153300719,153300719,50,-1,986
153308713,153308713,50,-1,983
153316714,153316715,50,-1,984
153324714,153324715,50,-1,985
153332714,153332715,50,-1,985
153340718,153340719,50,-1,985
153348713,153348713,50,-1,985
153356714,153356715,50,-1,986
153364715,153364715,50,-1,985
153372714,153372714,50,-1,985
153380718,153380719,50,-1,984
153388713,153388713,50,-1,985
153396714,153396715,50,-1,985
153404714,153404715,50,-1,984
153412714,153412715,50,-1,983
153420718,153420719,50,-1,984
153428713,153428713,50,-1,985
153436714,153436715,50,-1,984
153444714,153444714,50,-1,985
153452714,153452715,50,-1,985
153460718,153460719,50,-1,984
153468713,153468714,50,-1,984
153476714,153476715,50,-1,985
153484714,153484715,50,-1,985
153492715,153492715,50,-1,984
153500718,153500719,50,-1,985
153508713,153508713,50,-1,985
153516715,153516715,50,-1,986
153524714,153524715,50,-1,984
153532714,153532715,50,-1,984
153540718,153540718,50,-1,985
153548712,153548713,50,-1,985
153556714,153556715,50,-1,983
153564714,153564714,50,-1,983
153572714,153572715,50,-1,985
153580718,153580719,50,-1,985
153588713,153588713,50,-1,983
153596714,153596714,50,-1,984
153604714,153604714,50,-1,985
153612714,153612714,50,-1,985
153620718,153620719,50,-1,984
153628713,153628713,50,-1,985
153636714,153636715,50,-1,984
153644714,153644715,50,-1,984
153652714,153652714,50,-1,985
153660718,153660718,50,-1,986
153668713,153668713,50,-1,986
153676714,153676714,50,-1,985
153684714,153684715,50,-1,985
153692714,153692715,50,-1,985
153700718,153700719,50,-1,985
153708713,153708714,50,-1,983
153716714,153716714,50,-1,986
153724715,153724715,50,-1,984
153732714,153732715,50,-1,986
153740719,153740719,50,-1,984
153748713,153748713,50,-1,985
153756714,153756715,50,-1,983
153764714,153764715,50,-1,985
153772714,153772715,50,-1,985
153780718,153780719,50,-1,985
153788713,153788714,50,-1,985
153796714,153796715,50,-1,984
153804715,153804715,50,-1,985
153812714,153812715,50,-1,986
153820718,153820719,50,-1,984
153828713,153828714,50,-1,985
153836714,153836715,50,-1,984
153844714,153844714,50,-1,983
153852714,153852715,50,-1,984
153860718,153860719,50,-1,986
153868712,153868713,50,-1,984
153876714,153876715,50,-1,985
153884714,153884715,50,-1,985
153892714,153892715,50,-1,985
153900718,153900719,50,-1,984
153908712,153908713,50,-1,984
153916715,153916715,50,-1,985
153924714,153924715,50,-1,984
153932714,153932715,50,-1,986
153940718,153940719,50,-1,985
153948713,153948713,50,-1,984
153956714,153956715,50,-1,985
153964714,153964715,50,-1,986
153972714,153972715,50,-1,984
153980718,153980719,50,-1,984
153988713,153988713,50,-1,985
153996714,153996715,50,-1,985
154004714,154004715,50,-1,985
154012714,154012715,50,-1,985
154020719,154020719,50,-1,984
154028713,154028713,50,-1,985
154036714,154036715,50,-1,984
154044714,154044715,50,-1,984
154052714,154052715,50,-1,984
154060719,154060719,50,-1,985
154068713,154068713,50,-1,985
