time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
130643,0.00,0.15,254.69,23,28,0
130699,0.00,0.14,254.62,22,24,0
130755,0.00,0.14,254.55,22,24,0
130811,0.00,0.13,254.48,22,23,0
130867,0.00,0.12,254.40,21,23,0
130923,0.00,0.12,254.33,21,23,0
130979,0.00,0.11,254.25,21,23,0
131035,0.00,0.10,254.17,20,23,0
131091,0.00,0.10,254.09,20,23,0
131147,0.00,0.09,254.02,20,23,0
131203,0.00,0.08,253.94,19,23,0
131259,0.00,0.08,253.87,19,23,0
131314,0.00,0.07,253.81,19,24,0
131370,0.00,0.07,253.76,18,23,0
131426,0.00,0.06,253.72,18,23,0
131482,0.00,0.06,253.69,18,23,0
131538,0.00,0.06,253.66,17,23,0
131594,0.00,0.06,253.63,17,23,0
131650,0.00,0.05,253.60,17,23,0
131706,0.00,0.05,253.57,17,23,0
131762,0.00,0.05,253.55,17,23,0
131818,0.00,0.05,253.52,16,23,0
131874,0.00,0.04,253.51,16,23,0
131930,0.00,0.04,253.49,16,18,0
131986,0.00,0.04,253.48,16,17,0
132042,0.00,0.04,253.47,15,17,0
132098,0.00,0.04,253.47,15,17,0
132154,0.00,0.04,253.47,15,17,0
132210,0.00,0.04,253.47,15,17,0
132266,0.00,0.04,253.47,15,17,0
132322,0.00,0.04,253.47,15,17,0
132378,0.00,0.04,253.46,14,17,0
132434,0.00,0.04,253.45,14,17,0
132490,0.00,0.04,253.44,14,17,0
132545,0.00,0.04,253.44,14,17,0
132601,0.00,0.04,253.44,14,17,0
132657,0.00,0.04,253.44,13,17,0
132713,0.00,0.04,253.46,13,17,0
132769,0.00,0.04,253.47,13,17,0
132825,0.00,0.04,253.49,13,17,0
132881,0.00,0.04,253.51,12,17,0
132937,0.00,0.05,253.52,12,18,0
132993,0.00,0.05,253.54,12,18,0
133049,0.00,0.05,253.56,12,17,0
133105,0.00,0.05,253.59,11,18,0
133161,0.00,0.05,253.62,11,17,0
133217,0.00,0.06,253.66,10,17,0
133273,0.00,0.06,253.70,10,18,0
133329,0.00,0.07,253.75,9,14,0
133385,0.00,0.07,253.81,9,14,0
133441,0.00,0.08,253.87,8,16,0
133497,0.00,0.08,253.94,8,14,0
133553,0.00,0.09,254.00,7,14,0
133609,0.00,0.09,254.07,7,11,0
133664,0.00,0.10,254.13,6,11,0
133720,0.00,0.10,254.19,6,11,0
133776,0.00,0.11,254.24,5,11,0
133832,0.00,0.11,254.29,5,11,0
133888,0.00,0.12,254.32,5,11,0
133944,0.00,0.12,254.35,4,11,0
134000,0.00,0.12,254.37,4,11,0
134056,0.00,0.12,254.39,3,11,0
134112,0.00,0.12,254.39,3,11,0
134168,0.00,0.12,254.39,3,10,0
134224,0.00,0.12,254.38,2,1,0
134279,0.00,0.12,254.36,2,1,0
134335,0.00,0.12,254.32,2,2,0
134391,0.00,0.11,254.25,2,2,0
134447,0.00,0.10,254.17,2,1,0
134503,0.00,0.09,254.07,2,1,0
134559,0.00,0.08,253.96,2,1,0
134615,0.00,0.07,253.83,3,2,0
134670,0.00,0.06,253.70,3,1,0
134726,0.00,0.05,253.56,3,1,0
134782,0.00,0.04,253.41,3,2,0
134838,0.00,0.02,253.26,3,1,0
134894,0.00,0.00,253.10,4,2,0
134950,0.00,-0.00,252.93,4,1,0
135006,0.00,-0.02,252.75,5,1,0
135062,0.00,-0.04,252.58,5,1,0
135117,0.00,-0.05,252.42,6,1,0
135173,0.00,-0.06,252.26,6,1,0
135229,0.00,-0.08,252.11,6,2,0
135285,0.00,-0.09,251.97,7,1,0
135341,0.00,-0.10,251.84,7,2,0
135397,0.00,-0.11,251.71,8,1,0
135453,0.00,-0.12,251.58,9,2,0
135509,0.00,-0.14,251.45,9,2,0
135565,0.00,-0.15,251.34,10,2,0
135621,0.00,-0.16,251.22,11,7,0
135677,0.00,-0.16,251.12,12,7,0
135733,0.00,-0.17,251.04,12,7,0
135788,0.00,-0.18,250.96,13,7,0
135844,0.00,-0.18,250.91,13,7,0
135900,0.00,-0.19,250.87,14,6,0
135956,0.00,-0.19,250.84,14,6,0
