time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
42429,0.00,0.00,0.00,0,5
42459,0.00,0.00,0.00,0,5,0
42489,0.00,0.00,0.00,0,3
42518,0.00,0.00,0.00,0,5,0
42548,0.00,0.00,0.00,0,5
42578,0.00,0.00,0.00,0,3,0
42608,0.00,0.00,0.00,0,5
42637,0.00,0.00,0.00,0,5
42667,0.00,0.00,0.00,0,6
42697,0.00,0.00,0.00,0,5
42726,0.00,0.00,0.00,0,5
42756,0.00,0.00,0.00,0,5
42786,0.00,0.00,0.00,0,5
42816,0.00,0.00,0.00,0,5
42845,0.00,0.00,0.00,0,5
42875,0.00,0.00,0.00,0,5
42905,0.00,0.00,0.00,0,5
42935,0.00,0.00,0.00,0,5
42964,0.00,0.00,0.00,0,5
42994,0.00,0.00,0.00,0,5
43024,0.00,0.00,0.00,0,5,0
43053,0.00,0.00,0.00,0,5
43083,0.00,0.00,0.00,0,5,0
43113,0.00,0.00,0.00,0,5
43143,0.00,0.00,0.00,0,3,0
43172,0.00,0.00,0.00,0,3
43202,0.00,0.00,0.00,0,5
43232,0.00,0.00,0.00,0,5
43261,0.00,0.00,0.00,0,5
43291,0.00,0.00,0.00,0,5
43321,0.00,0.00,0.00,0,5
43351,0.00,0.00,0.00,0,5
43380,0.00,0.00,0.00,0,5
43410,0.00,0.00,0.00,0,5
43440,0.00,0.00,0.00,0,5
43470,0.00,0.00,0.00,0,5
43499,0.00,0.00,0.00,0,5
43529,0.00,0.00,0.00,0,5
43559,0.00,0.00,0.00,0,3
43588,0.00,0.00,0.00,0,5,0
43618,0.00,0.00,0.00,0,5
43648,0.00,0.00,0.00,0,5,0
