t1,t2,command,force,position
56138714,56138714,57,-1,896
56146714,56146715,57,-1,890
56154714,56154715,57,-1,896
56162712,56162713,57,-1,895
56170718,56170718,57,-1,894
56178714,56178714,57,-1,899
56186714,56186714,57,-1,895
56194714,56194714,57,-1,895
56202712,56202713,57,-1,895
56210717,56210718,57,-1,895
56218714,56218714,57,-1,896
56226714,56226714,57,-1,892
56234714,56234714,57,-1,896
56242713,56242713,57,-1,895
56250718,56250718,57,-1,900
56258714,56258714,57,-1,897
56266714,56266714,57,-1,894
56274714,56274714,57,-1,898
56282712,56282713,57,-1,896
56290718,56290718,57,-1,896
56298713,56298714,57,-1,895
56306714,56306715,57,-1,907
56314714,56314714,57,-1,896
56322712,56322713,57,-1,895
56330718,56330718,57,-1,897
56338714,56338714,57,-1,888
56346714,56346714,57,-1,894
56354714,56354714,57,-1,891
56362712,56362713,57,-1,896
56370718,56370718,57,-1,896
56378714,56378714,57,-1,895
56386714,56386714,57,-1,895
56394714,56394714,57,-1,895
56402712,56402713,57,-1,897
56410718,56410718,57,-1,899
56418714,56418714,57,-1,896
56426714,56426715,57,-1,894
56434714,56434714,57,-1,894
56442712,56442713,57,-1,895
56450718,56450718,57,-1,896
56458714,56458714,57,-1,896
56466714,56466714,57,-1,894
56474714,56474714,57,-1,893
56482712,56482713,57,-1,899
56490718,56490718,57,-1,896
56498714,56498714,57,-1,893
56506714,56506714,57,-1,894
56514714,56514714,57,-1,898
56522712,56522713,57,-1,895
56530718,56530719,57,-1,896
56538714,56538714,57,-1,894
56546714,56546714,57,-1,894
56554714,56554714,57,-1,894
56562712,56562713,57,-1,898
56570718,56570719,58,-1,896
56578713,56578714,58,-1,895
56586714,56586714,58,-1,894
56594714,56594714,58,-1,895
56602712,56602713,58,-1,899
56610717,56610718,58,-1,895
56618714,56618714,58,-1,894
56626714,56626714,58,-1,894
56634714,56634714,58,-1,895
56642713,56642713,58,-1,895
56650718,56650718,58,-1,894
56658714,56658715,58,-1,901
56666714,56666714,58,-1,885
56674714,56674715,58,-1,894
56682712,56682713,58,-1,897
56690718,56690719,58,-1,895
56698713,56698714,58,-1,895
56706714,56706714,58,-1,886
56714714,56714714,58,-1,898
56722712,56722713,58,-1,893
56730718,56730718,58,-1,897
56738714,56738714,58,-1,896
56746714,56746714,58,-1,897
56754714,56754714,58,-1,893
56762712,56762713,58,-1,900
56770718,56770718,58,-1,891
56778714,56778714,58,-1,889
56786714,56786714,58,-1,891
56794713,56794714,58,-1,890
56802712,56802713,58,-1,891
56810718,56810719,58,-1,886
56818713,56818714,58,-1,889
56826714,56826714,58,-1,890
56834714,56834714,58,-1,888
56842712,56842713,58,-1,889
56850718,56850718,58,-1,887
56858714,56858714,58,-1,885
56866714,56866714,58,-1,885
56874714,56874714,58,-1,892
56882712,56882713,58,-1,886
56890718,56890718,58,-1,886
56898714,56898715,58,-1,888
56906713,56906714,58,-1,886
56914714,56914714,58,-1,886
56922712,56922713,58,-1,888
56930717,56930718,58,-1,887
56938713,56938714,58,-1,885
56946714,56946714,58,-1,891
56954714,56954714,58,-1,886
56962712,56962713,58,-1,886
56970718,56970718,58,-1,884
56978714,56978714,58,-1,888
56986714,56986715,58,-1,891
56994714,56994714,58,-1,886
57002713,57002713,58,-1,889
57010718,57010718,58,-1,887
57018714,57018714,58,-1,887
57026714,57026714,58,-1,888
57034713,57034714,58,-1,887
57042712,57042713,58,-1,886
57050718,57050718,58,-1,878
57058714,57058714,58,-1,887
57066714,57066714,58,-1,893
57074714,57074714,58,-1,901
57082712,57082713,58,-1,884
57090717,57090718,58,-1,887
57098713,57098714,58,-1,884
57106714,57106714,58,-1,886
57114713,57114714,58,-1,889
57122712,57122713,58,-1,888
57130718,57130718,58,-1,890
57138714,57138715,58,-1,888
57146714,57146714,58,-1,892
57154713,57154714,58,-1,888
57162713,57162713,58,-1,884
57170718,57170718,58,-1,886
57178714,57178714,58,-1,889
57186714,57186714,58,-1,888
57194714,57194714,58,-1,888
57202712,57202713,58,-1,887
57210718,57210718,58,-1,887
57218714,57218714,58,-1,886
57226714,57226714,58,-1,894
57234714,57234714,58,-1,888
57242712,57242713,58,-1,882
57250718,57250718,58,-1,885
57258714,57258714,58,-1,886
57266714,57266714,58,-1,886
57274714,57274715,58,-1,885
57282712,57282713,58,-1,888
57290718,57290718,58,-1,887
57298714,57298714,58,-1,887
57306714,57306714,58,-1,894
57314713,57314714,58,-1,889
57322712,57322713,58,-1,888
57330718,57330719,58,-1,888
57338713,57338714,58,-1,886
57346714,57346714,58,-1,885
57354713,57354714,58,-1,889
57362712,57362713,58,-1,886
57370718,57370718,58,-1,884
57378714,57378714,58,-1,886
57386714,57386714,58,-1,884
57394713,57394714,58,-1,885
57402712,57402712,58,-1,885
57410718,57410718,58,-1,886
57418714,57418714,58,-1,888
57426713,57426714,58,-1,885
57434713,57434714,58,-1,887
57442712,57442713,58,-1,885
57450717,57450718,58,-1,888
57458714,57458714,58,-1,886
57466714,57466714,58,-1,877
57474714,57474714,58,-1,886
57482712,57482713,58,-1,881
57490718,57490718,58,-1,884
57498713,57498714,58,-1,890
57506714,57506714,58,-1,886
57514713,57514714,58,-1,888
57522713,57522713,58,-1,885
57530718,57530718,58,-1,887
57538714,57538714,58,-1,885
57546714,57546714,58,-1,881
57554714,57554714,58,-1,886
57562712,57562713,58,-1,888
57570718,57570719,58,-1,890
57578714,57578715,58,-1,887
57586714,57586714,58,-1,886
57594714,57594714,58,-1,887
57602712,57602713,58,-1,885
57610718,57610718,58,-1,886
57618713,57618714,58,-1,885
57626713,57626714,58,-1,889
57634713,57634714,58,-1,885
57642712,57642713,58,-1,888
57650718,57650718,58,-1,886
57658714,57658714,58,-1,894
57666714,57666714,58,-1,886
57674713,57674714,58,-1,888
57682712,57682713,58,-1,886
57690718,57690718,58,-1,887
57698713,57698714,58,-1,886
57706714,57706714,58,-1,881
57714714,57714714,58,-1,885
57722713,57722713,58,-1,888
57730717,57730718,58,-1,883
57738714,57738715,58,-1,884
57746714,57746714,58,-1,886
57754714,57754714,58,-1,882
57762712,57762713,58,-1,885
57770718,57770718,58,-1,885
57778714,57778714,58,-1,886
57786714,57786715,58,-1,887
57794714,57794714,58,-1,886
57802712,57802713,58,-1,883
57810717,57810718,58,-1,884
57818714,57818714,58,-1,886
57826714,57826714,58,-1,884
57834714,57834714,58,-1,886
57842712,57842713,58,-1,885
57850718,57850718,58,-1,885
57858714,57858714,58,-1,886
57866714,57866714,58,-1,884
57874714,57874714,58,-1,886
57882712,57882713,58,-1,884
57890718,57890718,58,-1,884
57898714,57898714,58,-1,884
57906714,57906715,58,-1,886
57914713,57914714,58,-1,887
57922712,57922713,58,-1,885
57930718,57930718,58,-1,886
57938713,57938714,58,-1,886
57946714,57946714,58,-1,884
57954714,57954715,58,-1,886
57962712,57962713,58,-1,884
57970718,57970718,58,-1,888
57978714,57978714,58,-1,881
57986714,57986714,58,-1,886
57994714,57994714,58,-1,884
58002712,58002713,58,-1,885
58010718,58010718,58,-1,885
58018714,58018714,58,-1,886
58026714,58026714,58,-1,882
58034714,58034714,58,-1,886
58042713,58042713,58,-1,885
58050718,58050718,58,-1,885
58058713,58058714,58,-1,880
58066714,58066714,58,-1,887
58074713,58074714,58,-1,890
58082713,58082713,58,-1,886
58090718,58090718,58,-1,886
58098714,58098714,58,-1,886
58106714,58106714,58,-1,888
58114713,58114714,58,-1,883
58122712,58122713,58,-1,889
58130718,58130718,58,-1,889
58138714,58138714,58,-1,888
58146714,58146714,58,-1,903
58154714,58154714,58,-1,884
58162713,58162713,58,-1,886
58170718,58170718,58,-1,886
58178714,58178714,58,-1,889
58186714,58186714,58,-1,884
58194714,58194715,58,-1,887
58202712,58202713,58,-1,884
58210718,58210718,58,-1,885
58218713,58218714,58,-1,887
58226714,58226714,58,-1,881
58234713,58234714,58,-1,885
58242712,58242713,58,-1,886
58250718,58250718,58,-1,886
58258713,58258714,58,-1,882
58266714,58266714,58,-1,885
58274714,58274714,58,-1,885
58282712,58282713,58,-1,887
58290718,58290718,58,-1,887
58298714,58298714,58,-1,884
58306714,58306714,58,-1,884
58314714,58314714,58,-1,889
58322712,58322713,58,-1,886
58330718,58330719,58,-1,887
58338714,58338714,58,-1,888
58346714,58346714,58,-1,888
58354713,58354714,58,-1,882
58362712,58362713,58,-1,884
58370718,58370718,58,-1,889
58378714,58378714,58,-1,887
58386714,58386714,58,-1,888
58394714,58394715,58,-1,882
58402712,58402713,58,-1,888
58410718,58410718,58,-1,886
58418714,58418714,58,-1,888
58426714,58426714,58,-1,885
58434714,58434714,58,-1,884
58442712,58442712,58,-1,884
58450718,58450718,58,-1,883
58458714,58458714,58,-1,886
58466713,58466714,58,-1,886
58474714,58474714,58,-1,886
58482712,58482713,58,-1,886
58490718,58490718,58,-1,886
58498714,58498715,58,-1,886
58506713,58506714,58,-1,887
58514714,58514714,58,-1,886
58522712,58522713,58,-1,891
58530717,58530718,58,-1,884
58538714,58538714,58,-1,888
58546714,58546714,58,-1,889
58554714,58554714,58,-1,884
58562712,58562713,58,-1,886
58570718,58570718,58,-1,886
58578714,58578714,58,-1,886
58586714,58586714,58,-1,884
58594714,58594714,58,-1,887
58602712,58602713,58,-1,882
58610718,58610718,58,-1,883
58618713,58618714,58,-1,884
58626714,58626714,58,-1,887
58634714,58634714,58,-1,887
58642712,58642713,58,-1,886
58650718,58650718,58,-1,886
58658714,58658714,58,-1,883
58666714,58666714,58,-1,884
58674714,58674714,58,-1,884
58682712,58682713,58,-1,884
58690718,58690718,58,-1,886
58698713,58698714,58,-1,887
58706714,58706714,58,-1,882
58714714,58714714,58,-1,887
58722712,58722713,58,-1,884
58730717,58730718,58,-1,887
58738714,58738714,58,-1,884
58746714,58746714,58,-1,887
58754714,58754714,58,-1,890
58762712,58762713,58,-1,888
58770718,58770718,58,-1,888
58778713,58778714,58,-1,886
58786714,58786715,58,-1,885
58794714,58794714,58,-1,883
58802712,58802712,58,-1,886
58810718,58810718,58,-1,886
58818714,58818714,58,-1,890
58826714,58826714,58,-1,886
58834714,58834714,58,-1,884
58842712,58842713,58,-1,885
58850718,58850718,58,-1,883
58858713,58858714,58,-1,887
58866714,58866714,58,-1,884
58874714,58874714,58,-1,887
58882712,58882713,58,-1,885
58890717,58890718,58,-1,886
58898714,58898715,58,-1,888
58906714,58906714,58,-1,887
58914714,58914714,58,-1,886
58922712,58922713,58,-1,888
58930718,58930718,58,-1,888
58938714,58938714,58,-1,888
58946714,58946714,58,-1,888
58954714,58954714,58,-1,884
58962712,58962712,58,-1,886
58970718,58970718,58,-1,886
58978714,58978714,58,-1,890
58986714,58986714,58,-1,888
58994714,58994714,58,-1,889
59002712,59002713,58,-1,885
59010718,59010718,58,-1,887
59018714,59018714,58,-1,889
59026714,59026714,58,-1,885
59034713,59034714,58,-1,888
59042712,59042713,58,-1,886
59050717,59050718,58,-1,886
59058714,59058714,58,-1,888
59066714,59066714,58,-1,885
59074713,59074714,58,-1,888
59082712,59082713,58,-1,886
59090718,59090718,58,-1,884
59098714,59098715,58,-1,887
59106714,59106714,58,-1,884
59114714,59114714,58,-1,886
59122712,59122713,58,-1,885
59130718,59130718,58,-1,885
59138713,59138714,58,-1,890
59146714,59146714,58,-1,886
59154713,59154714,58,-1,883
59162712,59162713,58,-1,885
59170718,59170718,58,-1,887
59178714,59178714,58,-1,884
59186714,59186714,58,-1,882
59194714,59194714,58,-1,887
59202712,59202713,58,-1,886
59210718,59210718,58,-1,886
59218714,59218714,58,-1,881
59226714,59226714,58,-1,887
59234714,59234714,58,-1,886
59242712,59242713,58,-1,887
59250718,59250718,58,-1,887
59258714,59258714,58,-1,888
59266714,59266714,58,-1,889
59274714,59274714,58,-1,884
59282712,59282713,58,-1,883
59290718,59290718,58,-1,886
59298714,59298714,58,-1,868
59306714,59306714,58,-1,884
59314714,59314714,58,-1,881
59322713,59322713,58,-1,884
59330718,59330718,58,-1,886
59338714,59338714,58,-1,888
59346714,59346715,58,-1,881
59354714,59354714,58,-1,887
59362712,59362713,58,-1,886
59370718,59370719,58,-1,886
59378713,59378714,58,-1,883
59386714,59386714,58,-1,886
59394714,59394714,58,-1,887
59402712,59402712,58,-1,886
59410718,59410718,58,-1,886
59418714,59418714,58,-1,884
59426713,59426714,58,-1,886
59434714,59434714,58,-1,887
59442713,59442713,58,-1,889
59450718,59450718,58,-1,886
59458714,59458714,58,-1,886
59466714,59466714,58,-1,890
59474713,59474714,58,-1,886
59482713,59482713,58,-1,888
59490718,59490718,58,-1,900
59498714,59498714,58,-1,882
59506714,59506714,58,-1,886
59514714,59514714,58,-1,888
59522712,59522713,58,-1,885
59530718,59530718,58,-1,885
59538714,59538714,58,-1,885
59546714,59546714,58,-1,886
59554713,59554714,58,-1,887
59562713,59562713,58,-1,887
59570718,59570718,58,-1,887
59578713,59578714,58,-1,887
59586714,59586714,58,-1,886
59594713,59594714,58,-1,886
59602712,59602713,58,-1,886
59610718,59610718,58,-1,886
59618714,59618715,58,-1,886
59626714,59626715,58,-1,883
59634714,59634714,58,-1,886
59642712,59642713,58,-1,886
59650718,59650718,58,-1,884
59658714,59658714,58,-1,886
59666714,59666714,58,-1,885
59674714,59674714,58,-1,884
59682712,59682712,58,-1,886
59690718,59690718,58,-1,886
59698714,59698714,58,-1,887
59706714,59706714,58,-1,900
59714714,59714715,58,-1,886
59722712,59722713,58,-1,882
59730718,59730718,58,-1,885
59738714,59738714,58,-1,887
59746714,59746714,58,-1,886
59754714,59754714,58,-1,888
59762712,59762713,58,-1,885
59770718,59770719,59,-1,886
59778713,59778714,59,-1,886
59786714,59786714,59,-1,887
59794714,59794714,59,-1,886
59802712,59802713,59,-1,884
59810718,59810718,59,-1,884
59818714,59818714,59,-1,884
59826714,59826715,59,-1,886
59834714,59834714,59,-1,877
59842712,59842713,59,-1,885
59850718,59850718,59,-1,885
59858714,59858714,59,-1,886
59866714,59866714,59,-1,892
59874714,59874714,59,-1,884
59882712,59882713,59,-1,882
59890718,59890718,59,-1,888
59898714,59898714,59,-1,884
59906714,59906714,59,-1,889
59914713,59914714,59,-1,880
59922712,59922713,59,-1,884
59930718,59930718,59,-1,884
59938714,59938714,59,-1,882
59946714,59946715,59,-1,879
59954713,59954714,59,-1,882
59962712,59962713,59,-1,880
59970717,59970718,59,-1,878
59978714,59978714,59,-1,881
59986714,59986714,59,-1,885
59994713,59994714,59,-1,886
60002712,60002713,59,-1,880
60010718,60010718,59,-1,880
60018714,60018714,59,-1,877
60026714,60026714,59,-1,876
60034713,60034714,59,-1,878
60042712,60042713,59,-1,881
60050718,60050718,59,-1,877
60058714,60058714,59,-1,877
60066714,60066714,59,-1,878
60074714,60074714,59,-1,885
60082712,60082713,59,-1,877
60090718,60090718,59,-1,878
60098714,60098714,59,-1,879
60106713,60106714,59,-1,877
60114714,60114714,59,-1,878
