,oldTime,flex sensor,"actuator position, command","actuator position, measured",force,Trial Number,Target Angle,time
2725,908.187,59.0,12.533333333333333,12.382978723404255,6.06,18.0,105.0,1397.2910000000002
2726,908.64,59.0,12.533333333333333,12.404255319148936,6.06,18.0,105.0,1397.7440000000001
2727,909.0930000000001,59.0,12.533333333333333,12.319148936170214,6.06,18.0,105.0,1398.1970000000001
2728,909.545,60.0,12.32,12.340425531914892,5.8,18.0,105.0,1398.649
2729,909.998,65.0,12.106666666666667,12.297872340425535,5.8,18.0,105.0,1399.102
2730,910.452,67.0,11.893333333333334,11.914893617021274,5.27,18.0,105.0,1399.556
2731,910.904,71.0,11.68,11.617021276595745,5.01,18.0,105.0,1400.008
2732,911.357,73.0,11.466666666666667,11.48936170212766,4.75,18.0,105.0,1400.461
2733,911.809,76.0,11.253333333333336,11.446808510638302,4.75,18.0,105.0,1400.913
2734,912.262,80.0,11.04,11.127659574468083,4.39,18.0,105.0,1401.366
2735,912.7139999999999,81.0,11.04,11.085106382978726,4.39,18.0,105.0,1401.818
2736,913.1669999999999,84.0,10.826666666666668,10.914893617021274,4.22,18.0,105.0,1402.271
2737,913.62,85.0,10.613333333333333,10.680851063829786,4.13,18.0,105.0,1402.7240000000002
2738,914.073,85.0,10.613333333333333,10.574468085106382,4.13,18.0,105.0,1403.1770000000001
2739,914.525,85.0,10.613333333333333,10.553191489361698,4.22,18.0,105.0,1403.629
2740,914.9789999999999,85.0,10.613333333333333,10.574468085106382,4.13,18.0,105.0,1404.083
2741,915.431,85.0,10.613333333333333,10.638297872340424,4.13,18.0,105.0,1404.535
2742,915.8839999999999,85.0,10.613333333333333,10.595744680851064,4.13,18.0,105.0,1404.9879999999998
2743,916.337,86.0,10.613333333333333,10.617021276595743,4.13,18.0,105.0,1405.441
2744,916.79,89.0,10.4,10.361702127659576,3.96,18.0,105.0,1405.894
2745,917.242,92.0,10.186666666666667,10.170212765957444,3.96,18.0,105.0,1406.346
2746,917.695,97.0,9.76,9.936170212765957,3.87,18.0,105.0,1406.799
2747,918.148,103.0,9.333333333333332,9.361702127659576,3.69,18.0,105.0,1407.252
2748,918.602,103.0,9.333333333333332,9.25531914893617,3.52,19.0,165.0,1407.7060000000001
2749,919.054,103.0,9.333333333333332,9.25531914893617,3.52,19.0,165.0,1408.158
2750,919.507,103.0,9.333333333333332,9.148936170212766,3.52,19.0,165.0,1408.6109999999999
2751,919.96,104.0,9.333333333333332,9.212765957446807,3.52,19.0,165.0,1409.064
2752,920.413,107.0,9.12,9.170212765957444,3.52,19.0,165.0,1409.517
2753,920.8660000000001,110.0,8.906666666666666,8.914893617021276,3.25,19.0,165.0,1409.9700000000003
2754,921.318,114.0,8.693333333333333,8.680851063829786,3.16,19.0,165.0,1410.422
2755,921.7719999999999,117.0,8.48,8.25531914893617,2.9,19.0,165.0,1410.876
2756,922.225,118.0,8.266666666666666,8.127659574468085,2.9,19.0,165.0,1411.3290000000002
2757,922.678,125.0,7.84,7.8936170212765955,2.72,19.0,165.0,1411.7820000000002
2758,923.13,130.0,7.413333333333334,7.340425531914893,2.46,19.0,165.0,1412.234
2759,923.5830000000001,131.0,7.413333333333334,7.382978723404255,2.37,19.0,165.0,1412.6870000000001
2760,924.0369999999999,140.0,6.7733333333333325,6.957446808510639,2.02,19.0,165.0,1413.141
2761,924.4889999999999,147.0,6.346666666666668,6.617021276595745,1.67,19.0,165.0,1413.5929999999998
2762,924.942,151.0,6.133333333333333,6.212765957446809,1.32,19.0,165.0,1414.046
2763,925.395,154.0,5.92,5.9361702127659575,1.14,19.0,165.0,1414.499
2764,925.8480000000001,160.0,5.493333333333332,5.531914893617022,0.7,19.0,165.0,1414.9520000000002
2765,926.3,163.0,5.28,5.127659574468085,0.62,19.0,165.0,1415.404
2766,926.753,164.0,5.066666666666666,5.1914893617021285,0.53,19.0,165.0,1415.857
2767,927.206,164.0,5.066666666666666,5.0,0.44,20.0,75.0,1416.31
2768,927.659,164.0,5.066666666666666,5.0212765957446805,0.53,20.0,75.0,1416.763
2769,928.1110000000001,164.0,5.066666666666666,5.0212765957446805,0.53,20.0,75.0,1417.2150000000001
2770,928.564,164.0,5.066666666666666,5.042553191489361,0.53,20.0,75.0,1417.6680000000001
2771,929.0169999999999,164.0,5.066666666666666,5.0,0.53,20.0,75.0,1418.121
2772,929.47,164.0,5.066666666666666,5.0,0.53,20.0,75.0,1418.574
2773,929.922,164.0,5.066666666666666,5.0,0.53,20.0,75.0,1419.026
