time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
36101,0.00,0.00,0.00,0,6
36130,0.00,0.00,0.00,0,6,0
36160,0.00,0.00,0.00,0,6
36190,0.00,0.00,0.00,0,6,0
36220,0.00,0.00,0.00,0,6
36249,0.00,0.00,0.00,0,5,0
36279,0.00,0.00,0.00,0,6
36309,0.00,0.00,0.00,0,6,0
36338,0.00,0.00,0.00,0,6
36368,0.00,0.00,0.00,0,6
36398,0.00,0.00,0.00,0,6
36428,0.00,0.00,0.00,0,6
36457,0.00,0.00,0.00,0,6
36487,0.00,0.00,0.00,0,6
36517,0.00,0.00,0.00,0,6
36546,0.00,0.00,0.00,0,6
36576,0.00,0.00,0.00,0,6
36606,0.00,0.00,0.00,0,6
36636,0.00,0.00,0.00,0,6,0
36665,0.00,0.00,0.00,0,6
36695,0.00,0.00,0.00,0,6
36725,0.00,0.00,0.00,0,7
36755,0.00,0.00,0.00,0,6,0
36784,0.00,0.00,0.00,0,6
36814,0.00,0.00,0.00,0,6,0
36844,0.00,0.00,0.00,0,6
36873,0.00,0.00,0.00,0,6,0
36903,0.00,0.00,0.00,0,6
36933,0.00,0.00,0.00,0,6
36963,0.00,0.00,0.00,0,6
36992,0.00,0.00,0.00,0,6
37022,0.00,0.00,0.00,0,6
37052,0.00,0.00,0.00,0,6
37081,0.00,0.00,0.00,0,6
37111,0.00,0.00,0.00,0,6
37141,0.00,0.00,0.00,0,6
37171,0.00,0.00,0.00,0,6
37200,0.00,0.00,0.00,0,5
37230,0.00,0.00,0.00,0,6
37260,0.00,0.00,0.00,0,6
37290,0.00,0.00,0.00,0,6
37319,0.00,0.00,0.00,0,6,0
37349,0.00,0.00,0.00,0,6
37379,0.00,0.00,0.00,0,6,0
37408,0.00,0.00,0.00,0,6
37438,0.00,0.00,0.00,0,6,0
37468,0.00,0.00,0.00,0,6
37498,0.00,0.00,0.00,0,6,0
37527,0.00,0.00,0.00,0,6
37557,0.00,0.00,0.00,0,6
37587,0.00,0.00,0.00,0,6
37617,0.00,0.00,0.00,0,7
37646,0.00,0.00,0.00,0,6
37676,0.00,0.00,0.00,0,6
37706,0.00,0.00,0.00,0,5
37735,0.00,0.00,0.00,0,6
37765,0.00,0.00,0.00,0,6
37795,0.00,0.00,0.00,0,6
37825,0.00,0.00,0.00,0,6
37854,0.00,0.00,0.00,0,6
37884,0.00,0.00,0.00,0,6
37914,0.00,0.00,0.00,0,6
37944,0.00,0.00,0.00,0,6,0
37973,0.00,0.00,0.00,0,6
38003,0.00,0.00,0.00,0,6,0
38033,0.00,0.00,0.00,0,6
38062,0.00,0.00,0.00,0,6,0
38092,0.00,0.00,0.00,0,6
38122,0.00,0.00,0.00,0,6,0
38152,0.00,0.00,0.00,0,5
38181,0.00,0.00,0.00,0,5
38211,0.00,0.00,0.00,0,6
38241,0.00,0.00,0.00,0,6
38270,0.00,0.00,0.00,0,6
38300,0.00,0.00,0.00,0,6
38330,0.00,0.00,0.00,0,6
38360,0.00,0.00,0.00,0,6
38389,0.00,0.00,0.00,0,6
38419,0.00,0.00,0.00,0,6
38449,0.00,0.00,0.00,0,6
38479,0.00,0.00,0.00,0,6
38508,0.00,0.00,0.00,0,6
38538,0.00,0.00,0.00,0,6
38568,0.00,0.00,0.00,0,6,0
38598,0.00,0.00,0.00,0,6
38627,0.00,0.00,0.00,0,6,0
38657,0.00,0.00,0.00,0,6
38687,0.00,0.00,0.00,0,6,0
38716,0.00,0.00,0.00,0,6
38746,0.00,0.00,0.00,0,6,0
38776,0.00,0.00,0.00,0,6
38806,0.00,0.00,0.00,0,6
38835,0.00,0.00,0.00,0,6
38865,0.00,0.00,0.00,0,6
38895,0.00,0.00,0.00,0,6
38924,0.00,0.00,0.00,0,6
38954,0.00,0.00,0.00,0,6
38984,0.00,0.00,0.00,0,6
39014,0.00,0.00,0.00,0,6
39043,0.00,0.00,0.00,0,6
39073,0.00,0.00,0.00,0,6
39103,0.00,0.00,0.00,0,6
39133,0.00,0.00,0.00,0,6,0
39162,0.00,0.00,0.00,0,6
39192,0.00,0.00,0.00,0,6,0
39222,0.00,0.00,0.00,0,6
39251,0.00,0.00,0.00,0,6,0
39281,0.00,0.00,0.00,0,6
39311,0.00,0.00,0.00,0,6,0
39341,0.00,0.00,0.00,0,6
39370,0.00,0.00,0.00,0,6,0
39400,0.00,0.00,0.00,0,6
39430,0.00,0.00,0.00,0,6
39460,0.00,0.00,0.00,0,6
39489,0.00,0.00,0.00,0,6
39519,0.00,0.00,0.00,0,6
