time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter

ROR460,-0.09





ROR461,-0.18

,0




ROR463,-0.18





ROR464,-0.18





ROR465,-0.18


,0




ROR467,-0.26





ROR468,-0.18





ROR469,-0.26


,0





ROR472,0.09





ROR473,-0.09





ROR474,-0.18

,0




ROR476,0.09





ROR477,0.09





ROR478,0.00



,0




ROR481,0.09





ROR482,0.09





ROR483,0.09





ROR484,0.09

,0




ROR486,-0.18





ROR487,-0.18





ROR488,-0.18


,0





ROR491,0.09





ROR492,-0.09





ROR493,0.00


,0



ROR495,-0.18





ROR496,0.00





ROR497,-0.18



,0





ROR500,-0.18





ROR501,-0.18





ROR502,-0.26

,0




ROR504,-0.09





ROR505,-0.18





ROR506,-0.26

,0





ROR509,0.09





ROR510,0.00





ROR511,0.09


,0



ROR513,-0.18





ROR514,0.09





ROR515,-0.18



,0





ROR518,-0.18





ROR519,0.00





ROR520,0.09


,0





ROR523,0.09





ROR524,0.09





ROR525,0.09


,0
MAXIMUM FOUND: 0.00,0.09,302,521
CALIBRATION ROUND 2: 293.00,506.00,293,506,0







4,0.09







5,0.09




,0






9,0.09







10,-0.18




,0







14,-0.09







15,-0.26



,0







18,-0.18







19,-0.09




,0






22,-0.18







23,-0.18




,0







27,0.09







28,0.09




,0





31,-0.09







32,-0.18





,0







36,-0.09







37,-0.09



,0






40,-0.18







41,0.09




,0







45,-0.18







46,-0.18



,0






49,-0.18







50,-0.26




,0






53,-0.18







54,0.09





,0







58,0.09







59,-0.18



,0






62,0.09







63,-0.18





,0







67,0.09







68,-0.09



,0







72,0.09







73,0.09




,0






76,-0.18







77,0.00





,0







81,-0.18







82,-0.18



,0






85,0.09







86,0.00







87,-0.18



,0







90,-0.18







91,-0.18



,0






94,-0.18







95,-0.18




,0






102,-0.09







103,-0.35



,0





105,-0.26







106,-0.18




,0






109,-0.18







110,-0.18



,0






116,0.09







117,0.09




,0






124,-0.18







125,-0.18



,0





127,0.00







128,-0.18




,0






131,-0.09







132,-0.26



,0





134,-0.18







135,-0.09




,0






138,-0.18







139,-0.18



,0





141,0.00







142,-0.18




,0






145,-0.35







146,-0.26



,0





148,-0.18







149,-0.18




,0






155,-0.26







156,-0.53



,0






162,-0.18







163,-0.18



,0





165,-0.26







166,-0.53




,0






169,-0.26







170,-0.35


,0






172,-0.26







173,0.00




,0







176,0.00







177,0.09



,0






183,-0.09







184,-0.09



,0






190,-0.18







191,-0.18



,0






197,-0.18







198,-0.18



,0





200,-0.18







201,-0.26




,0







204,-0.35







205,-0.44


,0





207,-0.35







208,-0.35




,0







211,-0.18







212,-0.18



,0





214,-0.35







215,-0.26




,0






221,-0.44







222,-0.26



,0





224,-0.26







225,-0.26




,0






