t1,t2,command,measured
29965819,29965820,56,932
29973278,29973279,56,930
29980741,29980742,56,930
29988205,29988205,56,929
29995667,29995668,56,931
30003127,30003128,56,929
30010594,30010594,56,928
30018053,30018054,56,929
30025520,30025521,56,929
30032979,30032980,56,930
30040440,30040441,56,930
30047904,30047905,56,926
30055365,30055365,56,929
30062826,30062826,56,928
30070291,30070291,56,928
30077752,30077752,56,926
30085217,30085217,56,927
30092678,30092679,56,929
30100139,30100140,56,928
30107604,30107605,56,928
30115065,30115065,56,929
30122526,30122527,56,929
30129990,30129991,56,929
30137452,30137452,56,929
30144916,30144917,56,930
30152376,30152377,56,929
30159839,30159839,56,930
30167303,30167303,56,929
30174765,30174765,56,929
30182225,30182225,56,930
30189691,30189691,56,928
30197150,30197151,56,930
30204617,30204617,56,930
30212077,30212077,56,929
30219538,30219538,56,930
30227003,30227004,56,928
30234465,30234465,56,928
30241925,30241926,56,928
30249389,30249389,56,929
30256851,30256851,56,929
30264312,30264313,56,930
30271777,30271777,56,929
30279236,30279237,56,929
30286703,30286704,56,930
30294162,30294163,56,930
30301625,30301625,56,930
30309088,30309089,56,930
30316551,30316551,56,929
30324013,30324013,56,929
30331477,30331477,56,929
30338936,30338937,56,929
30346400,30346401,56,931
30353861,30353861,56,932
30361322,30361322,56,929
30368786,30368786,56,929
30376247,30376247,56,927
30383710,30383711,56,930
30391173,30391173,56,929
30398634,30398634,56,929
30406099,30406099,56,930
30413560,30413561,56,929
30421021,30421022,56,928
30428486,30428486,56,930
30435947,30435947,56,930
30443407,30443408,56,929
30450873,30450874,56,929
30458333,30458333,56,930
30465799,30465799,56,928
30473258,30473259,56,928
30480722,30480722,56,929
30488185,30488186,56,929
30495648,30495648,56,933
30503107,30503108,56,928
30510573,30510574,56,929
30518033,30518034,56,929
30525500,30525500,56,928
30532959,30532960,56,929
30540420,30540421,56,929
30547886,30547886,56,929
30555346,30555346,56,929
30562808,30562808,56,930
30570272,30570273,56,929
30577733,30577734,56,929
30585198,30585199,56,928
30592660,30592660,56,930
30600121,30600121,56,929
30607586,30607587,56,928
30615047,30615047,56,930
30622508,30622509,56,928
30629973,30629974,56,927
30637433,30637433,56,930
30644897,30644898,56,929
30652356,30652357,56,930
30659819,30659819,56,931
30667282,30667283,56,929
30674745,30674745,56,930
30682205,30682205,56,928
30689671,30689671,56,929
30697131,30697131,56,930
30704597,30704598,56,929
30712057,30712057,56,928
30719518,30719519,56,930
30726983,30726983,56,929
30734444,30734445,56,928
30741905,30741906,56,929
30749369,30749370,56,930
30756831,30756832,56,931
30764293,30764294,56,929
30771758,30771759,56,930
30779218,30779218,56,928
30786684,30786684,56,930
30794143,30794144,56,932
30801606,30801606,56,929
30809069,30809070,56,929
30816532,30816532,56,929
30823993,30823994,56,927
30831458,30831458,56,929
30838917,30838918,56,929
30846382,30846382,56,929
30853843,30853844,56,929
30861304,30861305,56,928
30868769,30868770,56,930
30876230,30876231,56,929
30883694,30883694,56,929
30891156,30891157,56,930
30898618,30898618,56,929
30906082,30906083,56,928
30913544,30913545,56,929
30921005,30921006,56,929
30928470,30928471,56,929
30935931,30935932,56,929
30943392,30943392,56,929
30950858,30950859,56,929
30958318,30958318,56,927
30965784,30965785,56,927
30973244,30973245,56,929
30980706,30980707,56,930
30988171,30988171,56,928
30995633,30995633,56,932
31003093,31003093,56,929
31010559,31010559,56,929
31018018,31018019,56,931
31025485,31025485,56,930
31032943,31032944,56,930
31040404,31040405,56,930
31047869,31047870,56,929
31055330,31055331,56,929
31062791,31062792,56,930
31070256,31070257,56,931
31077718,31077718,56,927
31085183,31085183,56,927
31092644,31092644,56,929
31100105,31100105,56,927
31107570,31107570,56,930
31115031,31115031,56,929
31122492,31122492,56,929
31129957,31129957,56,929
31137417,31137417,56,927
31144883,31144884,56,929
31152343,31152344,56,930
31159806,31159806,56,929
31167270,31167271,56,931
31174733,31174733,56,929
31182192,31182192,56,929
31189658,31189658,56,928
31197117,31197118,56,929
31204584,31204584,56,930
31212043,31212044,56,929
31219504,31219504,56,929
31226968,31226969,56,927
31234429,31234430,56,927
31241890,31241891,56,929
31249354,31249354,56,929
31256816,31256817,56,928
31264278,31264279,57,931
31271743,31271744,57,929
31279202,31279203,57,929
31286669,31286669,57,930
31294128,31294129,57,929
31301591,31301592,57,928
31309054,31309055,57,929
31316517,31316517,57,930
31323978,31323978,57,929
31331443,31331443,57,929
31338901,31338902,57,928
31346367,31346367,57,929
31353828,31353828,57,930
31361289,31361289,57,929
31368753,31368754,57,929
31376214,31376215,57,927
31383678,31383679,57,931
31391141,31391142,57,926
31398603,31398603,57,928
