,time,flex sensor,"actuator position, command","actuator position, measured",OldForce,Trial Number,Target Angle,force
1855,978.546,146.0,6.133333333333333,5.931034482758621,-22.06,23.0,70.0,0.3521093750000013
1856,978.998,143.0,6.346666666666668,6.312997347480106,-21.62,23.0,70.0,0.792109374999999
1857,979.451,142.0,6.5600000000000005,6.312997347480106,-21.71,24.0,100.0,0.7021093749999991
1858,979.903,142.0,6.5600000000000005,6.4190981432360745,-21.62,24.0,100.0,0.792109374999999
1859,980.355,142.0,6.5600000000000005,6.4403183023872685,-21.62,24.0,100.0,0.792109374999999
1860,980.808,142.0,6.5600000000000005,6.461538461538463,-21.53,24.0,100.0,0.8821093749999989
1861,981.26,142.0,6.5600000000000005,6.503978779840847,-21.53,24.0,100.0,0.8821093749999989
1862,981.712,142.0,6.5600000000000005,6.482758620689656,-21.53,24.0,100.0,0.8821093749999989
1863,982.165,142.0,6.5600000000000005,6.4190981432360745,-21.53,24.0,100.0,0.8821093749999989
1864,982.617,142.0,6.5600000000000005,6.461538461538463,-21.62,24.0,100.0,0.792109374999999
1865,983.069,142.0,6.5600000000000005,6.3978779840848805,-21.71,24.0,100.0,0.7021093749999991
1866,983.5219999999999,142.0,6.5600000000000005,6.4190981432360745,-21.62,24.0,100.0,0.792109374999999
1867,983.975,142.0,6.5600000000000005,6.4403183023872685,-21.62,24.0,100.0,0.792109374999999
1868,984.427,139.0,6.7733333333333325,6.4403183023872685,-21.71,24.0,100.0,0.7021093749999991
1869,984.88,138.0,6.7733333333333325,6.610079575596818,-21.36,24.0,100.0,1.0521093750000006
1870,985.332,134.0,6.986666666666666,6.9708222811671074,-21.27,24.0,100.0,1.1421093750000004
1871,985.784,134.0,6.986666666666666,6.9708222811671074,-21.27,24.0,100.0,1.1421093750000004
1872,986.237,134.0,6.986666666666666,6.992042440318303,-21.27,24.0,100.0,1.1421093750000004
1873,986.689,133.0,6.986666666666666,6.907161803713528,-21.36,25.0,160.0,1.0521093750000006
1874,987.1410000000001,133.0,6.986666666666666,6.885941644562335,-21.27,25.0,160.0,1.1421093750000004
1875,987.5939999999999,133.0,6.986666666666666,6.9708222811671074,-21.36,25.0,160.0,1.0521093750000006
1876,988.046,133.0,6.986666666666666,6.822281167108754,-21.27,25.0,160.0,1.1421093750000004
1877,988.4989999999999,133.0,6.986666666666666,6.928381962864722,-21.36,25.0,160.0,1.0521093750000006
1878,988.951,133.0,6.986666666666666,6.9708222811671074,-21.36,25.0,160.0,1.0521093750000006
1879,989.404,133.0,6.986666666666666,6.822281167108754,-21.27,25.0,160.0,1.1421093750000004
1880,989.8560000000001,133.0,6.986666666666666,6.9708222811671074,-21.18,25.0,160.0,1.2321093750000003
1881,990.309,133.0,6.986666666666666,6.992042440318303,-21.36,25.0,160.0,1.0521093750000006
1882,990.7610000000001,133.0,6.986666666666666,6.992042440318303,-21.27,25.0,160.0,1.1421093750000004
1883,991.2130000000001,133.0,6.986666666666666,6.86472148541114,-21.27,25.0,160.0,1.1421093750000004
1884,991.666,133.0,6.986666666666666,6.949602122015913,-21.36,25.0,160.0,1.0521093750000006
1885,992.118,133.0,6.986666666666666,6.928381962864722,-21.36,25.0,160.0,1.0521093750000006
1886,992.57,132.0,7.2,6.885941644562335,-21.36,25.0,160.0,1.0521093750000006
1887,993.023,128.0,7.413333333333334,7.119363395225466,-21.18,25.0,160.0,1.2321093750000003
1888,993.475,126.0,7.626666666666668,7.331564986737401,-20.92,25.0,160.0,1.4921093749999983
1889,993.927,120.0,7.84,7.7135278514588865,-20.74,25.0,160.0,1.6721093750000016
1890,994.38,119.0,8.053333333333335,7.564986737400532,-20.65,25.0,160.0,1.7621093750000014
1891,994.832,119.0,8.053333333333335,7.989389920424402,-20.57,25.0,160.0,1.8421093749999997
1892,995.285,120.0,7.84,8.010610079575597,-20.57,25.0,160.0,1.8421093749999997
1893,995.737,114.0,8.266666666666666,7.925729442970822,-20.57,25.0,160.0,1.8421093749999997
1894,996.19,114.0,8.266666666666666,7.6923076923076925,-20.48,26.0,55.0,1.9321093749999996
1895,996.6419999999999,114.0,8.266666666666666,8.137931034482758,-20.3,26.0,55.0,2.1121093749999993
